1,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),SERVICES FINANCIERS,https://www.anstat.ci/indicateur-details/1d60d41949d6aa1ca1adfd0b70ba4b2feae1106a319bf740e2c2cd0ed0c26a4d1411fd6371a5fabcbba1a276a9c4315196bb39fb69ccfebb78fe74c3f29846e6OldpON4NK29RZAPquwhMne9AZNw13kFyf-wvqigsh9lMs-sfdhL8a8k4gj-TyIHE
2,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),MATÉRIEL DE TÉLÉPHONIE ET DE TÉLÉCOPIE,https://www.anstat.ci/indicateur-details/8772ceb9d7dbc28fb476f6e611f490a10f38ed725ee6ea1a029c20d23b497b79d618e097e5011be4013e91f5f17a3bfb16c9c735b479aa9dcce593280cf29c4dEJcPXLC7hAUup_oGIpXGR_CCDvPDKfEuXzTdb0V2p31RvzFyzCvMcyoO6HHFrW61
3,INDICE DE PRIX DE PRODUCTION DANS L'INDUSTRIE (IPPI) PAR DIVISION REGROUPÉE,"INDUSTRIES ÉLECTRONIQUES, INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",https://www.anstat.ci/indicateur-details/373c44f859953fc9ccf144e8784c0f49c17fbfbb634dd13096b71dab08bef332dc8f30b13738d9798799ecd282cf18ef180e47f798d93acf0761eeac372280478zUBqlGqQpC9rVBc-SWuJk0YHTz3o4ds4yXnLyHRJRpPAxbJa9SwW3TeMl5c-Dbv
4,INDICE DU CHIFFRE D'AFFAIRES DANS L'INDUSTRIE PAR DIVISION REGROUPÉE,"INDUSTRIES ÉLECTRONIQUES, INFORMATIQUES, ÉLECTRIQUES ET DE MACHINES",https://www.anstat.ci/indicateur-details/9f1668e61890f6ae2916498b0e8be73fe092f4b7b25f39b4dd42c45d1cd8dbd4fed33afa81bdbbf194a91926d5047848f169600a20918abfac163afb885790e2PHS7HEKYQDPERb1u-hGkJghEQ-WVDoLajYDJGFl2gIgZkz2gd2eH_RXC1LqI9rOV
5,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),"EQUIPEMENT PHOTOGRAPHIQUE, CINÉMATOGRAPHIQUE, OPTIQUE, AUTRE BIEN DURABLE À FONCTION RÉCREATIVE ET CULTURELLE",https://www.anstat.ci/indicateur-details/f6d29d1d72f796dee6ffceeb0a96280ec7933050b0f3475a47fc8ead98c9baa644a904a80fdde2b649d9e7eee937f2cd71912b0d588eae3288f180db0e9043f5W_-Bu00eX4iq5aEgKz9oi_PNG6br4E2OnsQ-oq47CGsIiCVKiKAMRZgb1NpZEDP7
6,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),MATÉRIEL DE TRAITEMENT DE L'INFORMATION ET SUPPORTS D'ENREGISTREMENT DE L'IMAGE ET DU SON,https://www.anstat.ci/indicateur-details/3c85dc750cbfcfb9c7de75dd706d8029e44ba2d4af982d34814c761c74d941627f1a79aaeb7fb0dc865835b3fd16d859fdd8378f19cdd19b39a0bec782c2fc7fYckXEXLr0q42VmrS0DjPA4HtXN2M32FueX9BtLqk3rvj_ZVMpF-dOcpmj7RYMHcy
7,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),CÉRÉALES NON TRANSFORMÉES,https://www.anstat.ci/indicateur-details/f7d72afe8a25eae60cd718f5345bf577f7608954cb9799f6c1530d25e204c9eecd20fe1938ada4d0b05c3b9f6526b64391469689880ea5652d1e875c4606e11bjYettBRyqmmFVhKeIu4PDEussZA0TZm9bCDOkxfqK5TZf_fc5hGJOgKPhWZgvxsD
8,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),BOEUF,https://www.anstat.ci/indicateur-details/3484bf0cb81ac21c14104216f3216837f11a8fa378eb35d9874be08ddc7129fed7acf0685f4f2bc8a55e2e7ce4c8022389bb49d7fb9ec4e331d575ef14b95bceZgod1zKcni5w6ZzO4vghZUTbhR9y0sPOK1ECwNU5s6qKrSe2ZvAeiCIoEWymPxqg
9,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),MOUTON - CHÈVRE,https://www.anstat.ci/indicateur-details/f31bd1bc6d67a5b96528f436effe20f715c2ad3d9108b429c7a053ab40b2653b66d7440fe219dc1d8265881612b0ae39c06a6bb3103106920215fe388a81ae3cIkYOOOuh94JiLrrjXaRGiEAgnb2eTJArkhGVvX8XzeVQKJhgnTyR5qZslV5TGBc7
10,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),PORC,https://www.anstat.ci/indicateur-details/c6c71d35f624777fd65dcd333a332904c3b9e2ade3fb561e6d4821fa86030d8358e952deffd3e65a129a4ccf316ab708ec13b779d50180bb6184ac2856ce49a4zI4Iquag5eVxc3_A5CPXYpvijCtBmi7jA7NPCOg3HiIr7Ogqlp94sCOpp1eeGa0h
11,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),VOLAILLE,https://www.anstat.ci/indicateur-details/b7a1fb37b31e92b0e7bcf0b1a15dbdc8dc000f84097e1b1649c71d3280d799ca11e42463b56da44247d58ebce8d78dd97334adb347d65716c6d653771b80728fxWO1mqeSRix93VGoOJ1Kwir5VIj7HXn9t0GY60LZZjnnj61n3RihgUw4lQdwc_na
12,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),"CHARCUTERIE ET CONSERVES, AUTRES VIANDES ET PRÉPARATIONS À BASE DE VIANDE",https://www.anstat.ci/indicateur-details/9d4463a010a9ac992d6435be28ea29fc731ebfeba12568f0c315243bd9c241e9406519fef3c7f871eca20715d9870b0ecda376aa6046c270a51bdbde6df405dbgUuPdGWkY7vYES0hqVrIA-KWIs0hm6QokNz322kPTV4g_6u3A_Oq4A8znSWaHp9Z
13,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),POISSONS FRAIS,https://www.anstat.ci/indicateur-details/dc7825be09f031fa0512bda1f6cfc69e8166a2efc47b156b31a1d8f73ea7ffd8002e0bd05757228e1f43ca54418769730e9ede72bb88af277ddcf3ec7025397fGT8oDUfL9QEi-ki2cYJgaF1g_Y0l3b70fqT9-O8eSOq9MhV9hClOGBTvRj5Buhz0
14,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),AUTRES PRODUITS FRAIS DE MER OU DE FLEUVE,https://www.anstat.ci/indicateur-details/df43a471052146901b02be4f48a9c96ec44d905eed9260866a6d3e6ee66dfcdeb658d81d22bcaa888cf37ffb8b572950e752704308ffb0f0e897151194336fe1G1EMYKz30PQ0Zql_Vywvn64JnLSXrPs9T4xEIEBB1umDNGNZLAQM_AxO03T0KNTr
15,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),POISSONS ET AUTRES PRODUITS SÉCHÉS OU FUMÉS,https://www.anstat.ci/indicateur-details/1c23baeb97b19bebf6ce6cb4a87a4ef884591770c57e69453eb2f984b9c8d6962f3ba54fc21ef6a14c75cc333ef039d9e7d4fdfbbb5269556679b3af57d90d67WuhtBJjp3XqKNMIhUH2B3_lmhudrVWk7UcXEi361aTehmChBw37095LSBlltG6MM
16,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),AUTRES CONSERVES DE POISSONS,https://www.anstat.ci/indicateur-details/c73c0ccf200970e8823cb315759f4e4ef3c235f3d991e019895d1cfb17f9f28b83974daae5a9736d986f7a50cd0b559b5c78991297fdbf2efe4b1cd264017cacaEF5_PgpRzKAz3tV3tU-mTpj3l5zD3iL01hcOTzEl_JL1uOqj-V0RQXxx1Yyp_QB
17,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),LAIT,https://www.anstat.ci/indicateur-details/066924ac3be39c1561fa793718cb190f6ae2a44160cdc9b09bd267a9f91440b4c86b81277e3b4caec4d4d793a9f613d5fb5b3afa1735b581d716b041f13fb2d2wIOR-XGzoOuoU4IIjLuziEbrod7ZyqKYyhntMAkJYbhaZt3Ixik2KWEokX8JV5-T
18,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),OEUFS,https://www.anstat.ci/indicateur-details/22148f2e436dc474e204173e75ce9ded3835d235a7eb4c0938745eac194d773e260c341d92b81683458d30fb1b53086636d5abf6525c465b93445dc49aa4660ffWiz6lYBp1ry8YLZ_T0Xdk45jNsKWKLJ3PtxLsvJV2gzb09IzxUNf2cpBFJWJ3YL
19,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),AUTRES FRUITS FRAIS,https://www.anstat.ci/indicateur-details/10d00bb12b25371cbdc6bca75f7ff8f7706a4ec3ffccd2a0100b634dde5acfbc87154a51dcfb23b86424f13b0544ffdf8636f77433681d7c40147b075d53a5e3rsveskekR5mIW-OTUD-kMBZqeBK_cX4QhO7znlKGI_0Zn4z1veNpHqfY_w04gq7j
20,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),FRUITS SECS ET NOIX,https://www.anstat.ci/indicateur-details/2125ce755b63e68d0414f0e025329280bfd3691ae206b3dc0b3e747352ca498d6f01c7259abae1d49736b10342a280504cee0cb70cac7f6c1166484d248c0d4eI8S9BpZeFHAeBujS0hxcvQTKp7s2TBmntSYU_kgYPr6Uu4heMYmIqdpslQJfwYWd
21,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),LÉGUMES FRAIS EN FRUITS OU RACINE,https://www.anstat.ci/indicateur-details/a2ddfaa6af81c10ee4b3957eb545cc723e830cd99b7aebd84c6da059d67493fbac334c536552bf715a6e3d09034cb096cb4ada992b07dbee7972eba5ff6c9e3cknrLO6TToOAuYYbh1e29pwgFbrzOiK8Gsiw2G-TZkO0Q3JI8S_U-UANnVvMwrYuB
22,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),LÉGUMES FRAIS EN FEUILLES,https://www.anstat.ci/indicateur-details/ccf5da8441bcdf7741ea9d43d025a5f0930982bdb1ccd9162459874e4b749c7c148518d127f3b8ff285c08b946cae6dcbb8f81f463a41f19d7d1d7d2ff779d47lzdXYCA7bImQzP5lLiD_tSvctq9fIMUusfBOLYUZ4Jl4DJr1Xs42oozVS3ia2w3t
23,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),LÉGUMES SECS ET OLEAGINEUX,https://www.anstat.ci/indicateur-details/70dd8c1c65f58f1f26071d6d2404d9b0822139d1c06a093c21b888812e9c5210511dc8a8a77593d556150276c5c91bf3fbbf67adffbef9ceada8d628be0aa8503gaExHSo3jNO5JNM0kty3uDfakBjPznhh-LK1UgEgssRZhh6-mvLC9rAozH7Chtt
24,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),TUBERCULES ET PLANTAIN,https://www.anstat.ci/indicateur-details/2877e0eabea7099bad83873400e184da0872f85dfb76e0306b029d831e0bad12d75de462b16661312c25e95232c11dc8f46d49787268275adb91b036a8a66e78qtR51S21LWE8oHfapGHGHGQEOdhvW3hr_Tt_2ZbxvKlTdo4AUelN5wGYVLScQ9zn
25,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),AUTRES PRODUITS À BASE DE TUBERCULES ET DE PLANTAIN,https://www.anstat.ci/indicateur-details/7ca6f20a9f0bdc13ffc6aa81eee56bdb8e9d5bd5fff6351c0260052e8f5b9be0211b59769d016c322471cc8a23cc616de607f9b94f4e9cde59bd660e12580499nAhL4TLlcMU6M3Za59IqXouKWby4tLoAxz6Yuw7jA2P3di2sqtHssz1vcDy89KDk
26,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),"CAFÉ, THÉ, CACAO ET AUTRES VÉGÉTAUX POUR TISANES",https://www.anstat.ci/indicateur-details/58ffcfd407d991b7455c37c8800291f3e0b5b6d2211421ec145d5d49b887001246c1061294944ce61a4938eea281e76d78468941d212b8dae0dbcfe82ae9a8f9iRXW8YQUProqIyziWB4iRv9IHugHfy-Xk9hFprLX3FPF4qEXpRuibIwnF4xA_lfu
27,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION REGROUPÉE,INDUSTRIES DU BOIS,https://www.anstat.ci/indicateur-details/534e5afe2e25f75fe2b5a9872e0ca90ec77c0513e110277973b4c4dc8c17143528a4585d49f97779ddaf32df8faa8aa335d48a5336a9611e48afdb0c366e54a2ohqf-qvjosFR1jRkRewqHGolUyaTjDdGGJXTTx4L_Nmi9lHGBKAVxzMor1gT81FA
28,INDICE DU CHIFFRE D'AFFAIRES DANS LE COMMERCE PAR DIVISION,"COMMERCE DE GROS DE PRODUITS AGRICOLES BRUTS, D'ANIMAUX VIVANTS, PRODUITS ALIMENTAIRES, BOISSONS ET TABAC",https://www.anstat.ci/indicateur-details/2525ce987adad43505a12643dd05dfb82cc1efc6ec8937fc3188124203d6627a00861f1f2d2fb695329313916153f539c0342341478ae78f86b990157e27cf443bRecuIH2xHwyHucIBh1RJaUULIdXuolwM8z6R9YMF8F1dBS5g0jeen9IGSyXrYq
29,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR FONCTION DE CONSOMMATION (NATIONAL),LOISIRS ET CULTURE,https://www.anstat.ci/indicateur-details/14a50a307bcc993b08ed03ef71d0e460c89680aa9afbc66e7651ca2a74a8beaef7b940cef5ec3acf245f7f5a094d1b7ec93686bd9095fa44f0f851cf1340ea50xpfEI4_n79DN1hxBn1wdP158hFb7-pGe1YxFsPP2iWItirEUPfCFsx57WcxsKCSn
30,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),"JEUX ET JOUETS, PASSE-TEMPS ET ARTICLES DE SPORT, MATÉRIEL C",https://www.anstat.ci/indicateur-details/818526e3b06e0bf92bbda756c24355dcdc347eb6683d317136ea04403bd07c1c97115799fbeba89b993e449189b8b11f5913fc701f593b0c14cb64b0eca94ea6rasN9N2dllDOgKNF8KiaEZBxnswGtzZ77EKcmAVeM08INr-RkxDa7Z7imMfI4rY9
31,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),"SERVICES CULTURELS, RECREATIFS ET SPORTIFS",https://www.anstat.ci/indicateur-details/77dd22694a0780a496ca0adf4915ec0e37cfc6ae6e54f23ef6bce98f54d978822cd554aa09e63d86d65acd4f85d6575f30cfff120df96e2c519f53ac893a908c72lwqS68ivJcm6EouivcJU_w2Nosm4VDKOrcfkeC5X4cmTTh9f9fkp9TQgVpUgC8
32,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),JEUX DE HASARD,https://www.anstat.ci/indicateur-details/0b8e72dfd39458aef9beb819f0cd557ae9f709b254191363d6be14bb3abb80c4bb6adeb6831c7ae10cc6966ba72d97a265db71390343ae807bbfdd5df3c8f685ka9VVyhEUqpOthYmqWuMoKZvsOF0lT7Hf74DvB3WvFe3Nz8224r6k6TzNvcn8ows
33,INDICE HARMONISÉ DE PRODUCTION (IHPI) RÉNOVÉ PAR TYPE D'INDUSTRIE,INDUSTRIES EXTRACTIVES,https://www.anstat.ci/indicateur-details/019f1f23301cdffa6a4399f6c09f1e8b24721a514e98b7a510a4d14a4e0c54a3456a77ced5f9ec76954d041506abe3e519b98d9e197aac2cbe9618997e737715e-6Ipptn6mgO9AsauZvj2FJmhMZRNIFR9XeNIazmgDNChqe8R85fyUHTldrdymML
34,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION REGROUPÉE,INDUSTRIES DE TRANSFORMATION DE PRODUITS PÉTROLIERS,https://www.anstat.ci/indicateur-details/99087247fec2a0225ce1fdc3ebbf348e871f4ea06c27d5c0ff2a6ccd474bcaa64430604fbfc2857c48af7a58f7277caf6122462161a426c8d03c1a0e90fd43c71GQbiUkxbf5PQr_JhmZTUkyGxQBBK1KeVFeVG4slSDim2-xDh8jfGaDwThgQjG93
35,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION REGROUPÉE,INDUSTRIES EXTRACTIVES,https://www.anstat.ci/indicateur-details/232dfd1443e769d3d56087940eeb1fa3ac1e0d03f1d9ec20e779c500c14e4dca0e1bacb6f6c8fc7aabc22e3747f724cb5f960e84a728b83793631f5eb21a1ccestZhYKNONftjsMzIL3u8JT78sZEADnWWZEmiZpeyhLX-IEkwILeWmqykNfOXDQKU
36,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION REGROUPÉE,INDUSTRIE DE MATÉRIAUX MINÉRAUX,https://www.anstat.ci/indicateur-details/40c2bf74fe479f32fbb3fe3b9d9b53882aafd08b37395bc59fb6193c093338636fb9c438c7485baeed919c4766c130449ddd875ed7ac63de3679fd56dd4c9534WPHu5F8wQBOq_7AUgGy1ybDoscoeQKi96UCwOeRLzYVgGwUg0vwEKhBeA-q431qj
37,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION REGROUPÉE,INDUSTRIES MÉTALLIQUES,https://www.anstat.ci/indicateur-details/b49551e2a3b714d033e8f3cc9b0c5539cc0bb27152b03132aa27960618011cf752d56be0a6b5b795a6b74277200256242421d13efd99cfb30f245e60891919b7SrNOajMHdg21Ayv9ATyFA39E1ueP_mMlnXojpmxlzHsETQcmlU3wpWT8liOHnNWq
38,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION,EXTRACTION D'HYDROCARBURES,https://www.anstat.ci/indicateur-details/01e74f5fa0fc14cf2780e65b3e161cd966254ce73f19332be55ff68728a108053df6728f07173662c599df5b6ae9907df9b4f6a60aec80f3ddf788eadaeb8b07w14bT88w85gBej5y4PA6DogNOZqmHdoZQF2dP3z-VpkIa8pUVvi28WONFZAuni_a
39,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION,EXTRACTION DE MINERAIS MÉTALLIQUES,https://www.anstat.ci/indicateur-details/7b46aba9fc2dbbff792d883b0c5afd9b89c55b9a0621ba1f9c3ae5b03be28c3ed9dc9fe77ebc3475892f4e0d6f227fc682ac288b6f553015718c1e5957679b801Tq-y0XKCS7_eOqE5Sex3n0qiwCge_lBzv4ql1p-XU_hs3mlZLsoo7cf8jxmjTmB
40,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION,AUTRES ACTIVITÉS EXTRACTIVES,https://www.anstat.ci/indicateur-details/1670e9fa2a8137702f9da53e7ca22108b3d75fa194a79b2170a1911c9097a223b24558f25eeeec7f2045cc463b6aa2ceec7708e9b69dff084294baa177b512a4oNB6DPRoqGYQTpcDiVQU_fvJutVWufPzt8i_woasiX8jQA-HhcN04OzwNk1bdA4h
41,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION,ACTIVITÉS DE SOUTIEN AUX INDUSTRIES EXTRACTIVES,https://www.anstat.ci/indicateur-details/cc7335db5c39e8bfe594a869889816f52aee926df7d1f6f2cf1349d40c13fbaa66c8bbeaad520968101621fb70164709f81044e3cd248593ca25329a7d0b36ffFhyLnOXqIVah_aBW3pLBbuuqDuqglg0dIggAsLUISOHTv1JwQe2UEUPKtjArWtV5
42,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION,"RAFFINAGE PÉTROLIER, COKÉFACTION",https://www.anstat.ci/indicateur-details/9d21a2993c190d548161c2bf21d507d46ac2c1e6334037db53fd159319e07b1d43b7938a90375b61b8269d97d7382bb2607a0dc1f20594c5c0ca8a10266fd0e5uB-SlpEg-GA6Xo03ytgDUmN9Te-xjClW_ojbjs4kcHknP_UiH7NiHMM7rpFeaOzI
43,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION,MÉTALLURGIE,https://www.anstat.ci/indicateur-details/b244946c4502051c3ab510c6d31c315b096989e904cb79b5d1d93f6582181ee69237525c433fa8b220b068a4dca690e5b6a94dd678b492fe050f38bb4c98ed77x1jY8WldJlSIizdhts4J1rOMMv78PJfQUfq8EDANQlJWMELzbXPuwqe1UwtmmUiS
44,INDICE HARMONISÉ DE LA PRODUCTION INDUSTRIELLE (IHPI) RÉNOVÉ PAR DIVISION,FABRICATION D'OUVRAGES EN MÉTAUX,https://www.anstat.ci/indicateur-details/e50432a9dcd25621716cf0dc3ce6fe99699ff082197ec6356eadcd663c14e12d48f8c0e4bf57ff07fe7bbfb293a7fe5091566a4ff0c4bcdf7597e3e5a158530dxgdwMAWpyZRgsLZMteQN5cYzl6UOxezTa1wdTXY89W2RmAArZpBsWvROfC8ul6y8
45,INDICE HARMONISÉ DES PRIX À LA CONSOMMATION PAR POSTE DE CONSOMMATION (NATIONAL),PROTECTION SOCIALE ET AUTRES ASSURANCES,https://www.anstat.ci/indicateur-details/c71e964c990da0372fe92fca0157701d2600b54b20316e37dbff9c058eb9bbc02da773afbc691b8a5d5b773ecdfe1d4cdad74b96fa40e97a7d11658ffd1c9220i4kAhuN-Pt-7a57zmym_rA0eOFxRGKwRDVYHrgzmoi-FmfiVXcYGqNCojapO5STL
